输入,1
输入,1
输入,1
上传,1
上传,1
上传,1
上传照片,1
上传照片,1
上传照片,1
上传照片,1
上传照片,1
输入照片,1
输入照片,1
输入照片,1
上传,1
上传,1
上传,1
输入图片,1
图片输入,1
上传图片,1
图片上传,1
上传文件,1
文件上传,1
给你图片,1
发送图片,1
给你文件,1
发送文件,1
我想上传图片,1
输入文件,1
我想给你图片,1
给你图片,1
给你文件,1
提取文字,2
里面写了什么,2
里面写了什么？,2
这里面写了什么？,2
这里面写了什么,2
这是什么意思,2
图品里有什么,2
这写的啥？,2
里面有啥,2
这啥？,2
这啥,2
写了啥？,2
写了啥,2
写了啥,2
写了啥,2
写了啥,2
这是什么,2
这什么玩意儿,2
这写得什么字,2
有什么在图片里,2
图片什么,2
图上写着什么,2
照片里有什么,2
帮我看看照片上写着什么,2
图片中有什么文字,2
图片中有什么,2
图片中的信息,2
我想知道图片中的文本,2
提取文本,2
得到文本,2
清空,3
删除,3
删除,3
删除,3
删除,3
清空,3
清空,3
清空记录,3
清空记录,3
清空记录,3
clear,3
clean,3
删除记录,3
删除记录,3
删除历史,3
删除历史,3
清空历史,3
翻译,4
翻译,4
翻译,4
翻译,4
翻译,4
翻译,4
英文,4
英文,4
英文,4
英文,4
英文,4
翻译,4
中译英,4
中译英,4
中译英,4
翻译翻译,4
翻译一下,4
转成英文,4
英文是什么,4
译文是什么,4
这句话英文是什么,4
翻译成英文,4
分析一下情感,5
分析情感,5
分析一下,5
情感是什么,5
包含了怎样的情感,5
有什么情感,5
感觉怎么样,5
有什么情感,5
有什么情感,5
有什么感情,5
什么感情,5
什么感情,5
什么感情,5
什么感情,5
有什么感情,5
包含了什么感情,5
感情,5
情感,5
心情,5
什么心情,5
心情是什么,5
这里面有什么心情,5
感情分析,5
情感分析,5
纠错,8
把句子纠错,8
将句子纠错,8
看看句子有没有错,8
纠错一下句子,8
对文本进行纠错,8
纠正文本中的错误,8
纠正错误,8
两个图片相加,6.0
两个相加,6.0
图片相加,6.0
图片加,6.0
两个图片加,6.0
两个图片相减,6.1
两个相减,6.1
图片相减,6.1
图片减,6.1
两个图片减,6.1
两个图片相乘,6.2
两个相乘,6.2
图片相乘,6.2
图片乘,6.2
两个图片乘,6.2
两个图片相除,6.3
两个相除,6.3
图片相除,6.3
图片除,6.3
两个图片除,6.3
两个图片相与,6.4
两个相与,6.4
图片相与,6.4
图片与,6.4
与运算,6.4
与运算,6.4
与运算,6.4
与运算,6.4
两个图片与,6.4
两个图片相或,6.5
或运算,6.5
或运算,6.5
或运算,6.5
或运算,6.5
两个相或,6.5
图片相或,6.5
图片相或,6.5
图片相或,6.5
图片或,6.5
图片相或,6.5
图片相或,6.5
图片或,6.5
图片或,6.5
图片或,6.5
图片或,6.5
两个图片或,6.5
图片非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非运算,6.6
非运算,6.6
非运算,6.6
非运算,6.6
非运算,6.6
非运算,6.6
图片非,6.6
图片非,6.6
图片非,6.6
图片非,6.6
两个图片相异或,6.7
异或,6.7
异或,6.7
异或,6.7
异或,6.7
两个相异或,6.7
图片相异或,6.7
图片异或,6.7
两个图片异或,6.7
图片平移,6.8
平移,6.8
照片平移,6.8
平移,6.8
平移,6.8
平移,6.8
平移,6.8
图片旋转,6.9
旋转,6.9
照片旋转,6.9
旋转,6.9
旋转,6.9
旋转,6.9
旋转,6.9
图片缩放,7.0
图片缩放,7.0
图片缩放,7.0
图片缩放,7.0
缩放,7.0
照片缩放,7.0
缩放,7.0
缩放到原来,7.0
缩放到原图,7.0
缩放到,7.0
缩放,7.0
缩放,7.0
缩放,7.0
图片翻转,7.1
翻转,7.1
照片翻转,7.1
翻转,7.1
翻转,7.1
翻转,7.1
翻转,7.1
图片剪切,7.2
剪切,7.2
照片剪切,7.2
剪切,7.2
剪切,7.2
剪切,7.2
剪切,7.2
图片仿射,7.3
图片仿射变换,7.3
图片仿射变换,7.3
图片仿射变换,7.3
图片仿射变换,7.3
图片仿射变换,7.3
仿射变换,7.3
仿射变换,7.3
仿射变换,7.3
仿射变换,7.3
仿射,7.3
照片仿射,7.3
仿射,7.3
仿射,7.3
仿射,7.3
仿射,7.3
去阴影,7.4
除去阴影,7.4
去阴影部分,7.4
去除阴影部分,7.4
除去阴影部分,7.4
修正阴影部分,7.4
图片去阴影,7.4
照片去阴影,7.4
傅里叶变换,7.5
进行傅里叶变换,7.5
对图片进行傅里叶变换,7.5
图片傅里叶变换,7.5
做傅里叶变换,7.5
做变换傅里叶,7.5
对图片做傅里叶变换,7.5
照片傅里叶变换,7.5
做傅里叶变换,7.5
傅里叶变换,7.5
进行高通滤波,7.6
高通滤波,7.6
进行高通滤波变换,7.6
高通滤波变换,7.6
对图片进行高通滤波,7.6
对图片高通滤波,7.6
对图片进行高通滤波变换,7.6
对图片高通滤波变换,7.6
进行低通滤波,7.7
低通滤波,7.7
进行低通滤波变换,7.7
低通滤波变换,7.7
对图片进行低通滤波,7.7
对图片低通滤波,7.7
对图片进行低通滤波变换,7.7
对图片低通滤波变换,7.7
基于灰度阈值的图片分割,7.9
基于灰度的图片分割,7.9
基于的图片分割,7.9
灰度阈值的图片分割,7.9
灰度阈值的分割,7.9
基于灰度的分割,7.9
灰度的分割,7.9
图片基于灰度阈值的图片分割,7.9
图片基于灰度的图片分割,7.9
图片基于的图片分割,7.9
图片灰度阈值的图片分割,7.9
图片灰度阈值的分割,7.9
图片基于灰度的分割,7.9
图片灰度的分割,7.9
基于灰度阈值进行区域划分,7.9
基于灰度阈值进行区域划分,7.9
基于灰度阈值进行区域划分,7.9
基于区域增长的图片分割,11
区域增长的图片分割,11
基于区域增长的分割,11
区域增长的分割,11
基于区域增长分割,11
区域增长分割,11
区域增长,11
对图像进行区域增长分割,11
图像进行区域增长分割,11
图像区域增长分割,11
基于区域生长的图片分割,11
区域生长的图片分割,11
基于区域生长的分割,11
区域生长的分割,11
基于区域生长分割,11
区域生长分割,11
区域生长,11
对图像进行区域生长分割,11
图像进行区域生长分割,11
图像区域生长分割,11
基于分裂合并的图片分割,12
分裂合并的图片分割,12
基于分裂合并的分割,12
分裂合并的分割,12
基于分裂合并分割,12
分裂合并分割,12
分裂合并,12
对图像进行分裂合并分割,12
图像进行分裂合并分割,12
图像分裂合并分割,12